t,gripFz,sigma,sigmaPeak,nBroken
7.57711e-05,-7398.02,4.62376e+06,4.62376e+06,0
7.59664e-05,-7428.2,4.64262e+06,4.64262e+06,0
7.61617e-05,-7459.01,4.66188e+06,4.66188e+06,0
7.6357e-05,-7490.38,4.68149e+06,4.68149e+06,0
7.65523e-05,-7521.9,4.70118e+06,4.70118e+06,0
7.67475e-05,-7553.19,4.72074e+06,4.72074e+06,0
7.69428e-05,-7584.03,4.74002e+06,4.74002e+06,0
7.71381e-05,-7614.16,4.75885e+06,4.75885e+06,0
7.73334e-05,-7643.47,4.77717e+06,4.77717e+06,0
7.75287e-05,-7671.78,4.79486e+06,4.79486e+06,0
7.7724e-05,-7698.86,4.81179e+06,4.81179e+06,0
7.79193e-05,-7724.59,4.82787e+06,4.82787e+06,0
7.81145e-05,-7748.9,4.84306e+06,4.84306e+06,0
7.83098e-05,-7771.88,4.85742e+06,4.85742e+06,0
7.85051e-05,-7793.72,4.87108e+06,4.87108e+06,0
7.87004e-05,-7814.7,4.88419e+06,4.88419e+06,0
7.88957e-05,-7834.96,4.89685e+06,4.89685e+06,0
7.9091e-05,-7854.63,4.90914e+06,4.90914e+06,0
7.92863e-05,-7874.05,4.92128e+06,4.92128e+06,0
7.94816e-05,-7893.62,4.93352e+06,4.93352e+06,0
7.96768e-05,-7913.46,4.94592e+06,4.94592e+06,0
7.98721e-05,-7933.7,4.95856e+06,4.95856e+06,0
8.00674e-05,-7954.33,4.97145e+06,4.97145e+06,0
8.02627e-05,-7975.23,4.98452e+06,4.98452e+06,0
8.0458e-05,-7996.44,4.99777e+06,4.99777e+06,0
8.06533e-05,-8017.84,5.01115e+06,5.01115e+06,0
8.08486e-05,-8039.21,5.02451e+06,5.02451e+06,0
8.10438e-05,-8060.38,5.03774e+06,5.03774e+06,0
8.12391e-05,-8081.14,5.05071e+06,5.05071e+06,0
8.14344e-05,-8101.37,5.06336e+06,5.06336e+06,0
8.16297e-05,-8121.01,5.07563e+06,5.07563e+06,0
8.1825e-05,-8140.04,5.08752e+06,5.08752e+06,0
8.20203e-05,-8158.56,5.0991e+06,5.0991e+06,0
8.22156e-05,-8176.7,5.11044e+06,5.11044e+06,0
8.24108e-05,-8194.49,5.12156e+06,5.12156e+06,0
8.26061e-05,-8211.94,5.13246e+06,5.13246e+06,0
8.28014e-05,-8228.98,5.14311e+06,5.14311e+06,0
8.29967e-05,-8245.5,5.15344e+06,5.15344e+06,0
8.3192e-05,-8261.53,5.16346e+06,5.16346e+06,0
8.33873e-05,-8277.14,5.17321e+06,5.17321e+06,0
8.35826e-05,-8292.34,5.18271e+06,5.18271e+06,0
8.37779e-05,-8307.15,5.19197e+06,5.19197e+06,0
8.39731e-05,-8321.45,5.20091e+06,5.20091e+06,0
8.41684e-05,-8335.21,5.20951e+06,5.20951e+06,0
8.43637e-05,-8348.43,5.21777e+06,5.21777e+06,0
8.4559e-05,-8361.12,5.2257e+06,5.2257e+06,0
8.47543e-05,-8373.34,5.23334e+06,5.23334e+06,0
8.49496e-05,-8385.14,5.24071e+06,5.24071e+06,0
8.51449e-05,-8396.6,5.24788e+06,5.24788e+06,0
8.53401e-05,-8407.83,5.25489e+06,5.25489e+06,0
